JobIDRaw|JobName|State|Elapsed|Timelimit|ReqMem|MaxRSS|AllocCPUS|TotalCPU|ExitCode
39696240.extern|extern|COMPLETED|00:00:29||64Gn|2864K|8|00:00:00|0:0
39696244|Xen_res1.5_ABT|FAILED|00:00:41|12:00:00|64Gn||8|00:39.427|1:0
39696244.batch|batch|FAILED|00:00:41||64Gn|3005036K|8|00:39.426|1:0
39696244.extern|extern|COMPLETED|00:00:41||64Gn|2864K|8|00:00:00|0:0
39696246|Xen_res1.5_ABT|FAILED|00:01:12|12:00:00|64Gn||8|00:42.761|1:0
39696246.batch|batch|FAILED|00:01:12||64Gn|3075596K|8|00:42.760|1:0
39696246.extern|extern|COMPLETED|00:01:12||64Gn|2864K|8|00:00.001|0:0
39696247|Xen_res1.5_ABT|FAILED|00:00:40|12:00:00|64Gn||8|00:38.385|1:0
39696247.batch|batch|FAILED|00:00:40||64Gn|3055712K|8|00:38.385|1:0
39696247.extern|extern|COMPLETED|00:00:40||64Gn|2864K|8|00:00:00|0:0
39696248|Xen_res1.5_ABT|FAILED|00:00:36|12:00:00|64Gn||8|00:34.757|1:0
39696248.batch|batch|FAILED|00:00:36||64Gn|3057240K|8|00:34.756|1:0
39696248.extern|extern|COMPLETED|00:00:36||64Gn|2864K|8|00:00:00|0:0
39696251|Xen_res1.5_ABT|FAILED|00:00:41|12:00:00|64Gn||8|00:39.511|1:0
39696251.batch|batch|FAILED|00:00:41||64Gn|3019244K|8|00:39.510|1:0
39696251.extern|extern|COMPLETED|00:00:41||64Gn|2864K|8|00:00:00|0:0
39696255|Xen_res1.5_ABT|FAILED|00:00:31|12:00:00|64Gn||8|00:29.241|1:0
39696255.batch|batch|FAILED|00:00:31||64Gn|3532K|8|00:29.240|1:0
39696255.extern|extern|COMPLETED|00:00:31||64Gn|2864K|8|00:00:00|0:0
39696256|Xen_res1.5_ABT|FAILED|00:00:29|12:00:00|64Gn||8|00:27.304|1:0
39696256.batch|batch|FAILED|00:00:29||64Gn|3532K|8|00:27.303|1:0
39696256.extern|extern|COMPLETED|00:00:29||64Gn|2864K|8|00:00:00|0:0
